capability,current_impl,sdk_feature/api,gap?,adapter_needed,adapter_signature,error_mapping,schema_diff,owner,status,date,test_ids
tool discovery/execution,"mcp-client + mcp_connection_manager over stdio; list aggregate; call route","rmcp client + TokioChildProcess; typed handlers",no,"name qualification + timeout propagation","fn qualify_and_list(tools: Vec<Tool>) -> HashMap<String, Tool>; fn call_tool(server: &str, tool: &str, args: Option<Value>, timeout: Option<Duration>) -> Result<CallToolResult>","n/a","n/a",core,ready,2025-09-11,"CORE_MCP_LIST, CORE_MCP_CALL"
resource listing/fetch,"server stubs only (logs)","rmcp server handlers support resources",yes,"implement list/read/templates handlers","trait Resources { fn list(cursor: Option<String>) -> ListResourcesResult; fn read(uri: &str) -> ReadResourceResult; fn templates() -> ListResourceTemplatesResult }","map legacy INVALID_REQUEST to rmcp::ErrorData{code=-32600}","mcp_types::Resource ↔ rmcp::Resource",server,prototype,2025-09-11,"SRV_RES_LIST, SRV_RES_READ"
streaming/notifications,"server emits; client logs only","rmcp notifications + dispatch",partial,"client notification routing + back-pressure","fn on_notification<N: Notification>(n: N) -> (); bounded mpsc size=128","n/a","n/a",core,prototype,2025-09-11,"CLI_NOTIF_ROUTE"
concurrency/back-pressure,"Tokio tasks + bounded mpsc (ad hoc)","rmcp async handler patterns",partial,"align bounded queues, handler lifetimes","const CHANNEL: usize = 128; use JoinSet for fanout","n/a","n/a",core,prototype,2025-09-11,"CONC_SOAK_01"
cancellation,"per-call timeout only","futures cancellation supported",yes,"plumb cancel tokens through calls","fn with_timeout<F: Future>(f: F, d: Duration) -> Result<T>","map timeout to code=-32000 message=\"request timed out\"","n/a",core,prototype,2025-09-11,"CANCEL_01"
retries/timeouts,"timeouts present; no retries","policy at call sites",partial,"retry helper with jitter","fn retry<F, T, E>(f: F, n: u32) where E: is_retryable","map retryable transport errs to code=-32098","n/a",core,prototype,2025-09-11,"RETRY_01"
error taxonomy/JSON-RPC,"manual envelopes; custom error codes","centralized mapping in SDK",partial,"map legacy codes to SDK; preserve UX msgs","fn map_error(e: Legacy) -> rmcp::ErrorData { ... }","INVALID_REQUEST(-32600), INTERNAL(-32603), custom(-320xx)","JSONRPCError ↔ rmcp error",server,prototype,2025-09-11,"ERRMAP_01"
JSON-RPC compliance,"manual encode/decode","SDK enforces",no,"remove custom framing","n/a","n/a","n/a",core,ready,2025-09-11,"JSONRPC_OK"
transports,"stdio only; SSE via proxy","stdio + Streamable HTTP standard; WS behind non-default",no (initial),"keep stdio; plan Streamable HTTP behind feature","Feature gate: transport_streamable_http","n/a","n/a",core,ready,2025-09-11,"TRANS_STDIO"
schema/validation,"private mcp-types (2025-06-18)","rmcp types align to spec",risk,"version/date reconciliation adapters","fn to_rmcp(x: mcp_types::Tool) -> rmcp::Tool; fn to_legacy(x: rmcp::Tool) -> mcp_types::Tool","n/a","per-field rename/casing diffs",shared,prototype,2025-09-11,"SCHEMA_COMP_01"
versioning,"string const + codegen","crate version tracks spec",partial,"pin crate, assert spec version at init","const RMCP_VERSION: &str = \"0.6.4\";","n/a","n/a",shared,ready,2025-09-11,"VER_PIN"
compatibility modes,"none","feature flags possible",no,"feature flag rmcp_sdk for rollout","[features] rmcp_sdk = [\"rmcp\"]","n/a","n/a",shared,ready,2025-09-11,"FF_RMCP"
authN/authZ,"AuthManager in server","neutral: preserve integration",no,"bridge login/status via notifications","fn notify_login_complete(login_id: Uuid, success: bool)","n/a","n/a",server,ready,2025-09-11,"AUTH_FLOW"
sandbox/isolation,"exec/patch approval + sandbox","neutral",no,"preserve seatbelt/linux sandbox hooks","n/a","n/a","n/a",server,ready,2025-09-11,"SBX_EXEC"
secrets handling,"env filtering for child/server","neutral",no,"retain filters; add tests","fn create_env(extra: Option<HashMap<..>>) -> HashMap<..>","n/a","n/a",shared,ready,2025-09-11,"SECRETS_ENV"
input validation,"JSON size/shape checks ad hoc","schemas + typed params",partial,"validate args via schema where available","fn validate_args(schema: &Schema, v: &Value) -> Result<()>","INVALID_PARAMS(-32602)","n/a",server,prototype,2025-09-11,"ARG_VALID"
rate limiting/quotas,"basic/implicit","policy layer optional",partial,"enforce per-conv quotas if needed","fn check_quota(conv: &Id) -> bool","n/a","n/a",shared,prototype,2025-09-11,"RLIM_01"
audit logging,"rollout logs + events","neutral",no,"ensure notifications include Codex events","fn emit_codex_event(event: &Event)","n/a","n/a",server,ready,2025-09-11,"AUDIT_EVT"
supply chain,"workspace crates only","add rmcp crate",no,"cargo audit/deny in CI","ci: cargo audit && cargo deny","n/a","n/a",shared,ready,2025-09-11,"CI_SUPPLY"
privacy/PII,"redaction in logs","neutral",no,"retain redaction hooks","fn redact(msg: &str) -> String","n/a","n/a",shared,ready,2025-09-11,"PRIV_RED"
